CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,WORKSITE_STATE,SWA_NAME,AGENT_ATTORNEY_CITY,WORKSITE_CITY,AGENT_ATTORNEY_STATE,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,0,45,11,30,1,seasonal,35.0,14.25,0.0,none,0.0,3.0,oregon,0,no attorney representation,dallas,no attorney representation,no_rep,no_rep,8.5,1.0,1
1,1,37,48,13,1,seasonal,40.0,15.73,0.0,none,0.0,0.0,colorado,0,austin,wellington,texas,different,different,9.0,1.0,1
1,1,37,56,36,1,seasonal,40.0,14.07,0.0,none,0.0,0.0,utah,0,austin,midvale,texas,different,different,8.0,1.0,1
1,1,35,72,4,1,peakload,35.0,14.9,0.0,none,0.0,1.0,florida,0,north bay village,key west,florida,different,same,8.0,1.0,1
1,1,35,72,5,1,peakload,35.0,12.45,0.0,none,0.0,1.0,florida,0,north bay village,key west,florida,different,same,7.0,1.0,1
1,1,37,72,12,1,peakload,35.0,11.39,0.0,none,0.0,1.0,florida,0,north bay village,key west,florida,different,same,8.0,1.0,1
0,1,37,56,12,1,peakload,40.0,23.92,0.0,none,0.0,0.0,maryland,0,cherry hill,lothian,new jersey,different,different,8.0,1.0,1
1,1,37,72,10,1,peakload,40.0,10.77,0.0,none,0.0,3.0,arizona,0,framingham,paradise valley,massachusetts,different,different,8.0,1.0,1
1,0,39,62,1,1,one-time occurrence,40.0,14.34,0.0,high school/ged ,0.0,12.0,california,0,no attorney representation,los altos,no attorney representation,no_rep,no_rep,8.0,1.0,1
1,1,35,53,3,1,peakload,35.0,13.77,0.0,none,0.0,0.0,colorado,0,vail,vail,colorado,same,same,8.0,1.0,1
1,1,37,53,34,1,peakload,35.0,14.13,0.0,none,0.0,0.0,colorado,0,vail,vail,colorado,same,same,8.0,1.0,1
1,1,35,53,7,1,peakload,35.0,10.86,0.0,none,0.0,0.0,colorado,0,vail,vail,colorado,same,same,8.0,1.0,1
1,1,39,71,16,1,seasonal,35.0,11.39,0.0,high school/ged ,0.0,0.0,vermont,0,framingham,killington,massachusetts,different,different,7.0,1.0,1
0,1,47,23,12,1,peakload,35.0,14.56,0.0,none,0.0,0.0,texas,0,lexington,balch springs,kentucky,different,different,8.0,1.0,1
