AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME,CASE_STATUS
1,35,53,7.0,1,peakload,35.0,10.86,0.0,none,0.0,0.0,0,same,same,8.0,1.0,1,1
1,39,71,16.0,1,seasonal,35.0,11.39,0.0,high school/ged ,0.0,0.0,0,different,different,7.0,1.0,1,1
1,47,23,12.0,1,peakload,35.0,14.56,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,0
0,39,81,1.0,1,one-time occurrence,40.0,15.0,0.0,high school/ged ,0.0,0.0,0,no_rep,no_rep,8.0,1.0,1,0
0,47,23,12.0,1,seasonal,40.0,14.38,0.0,none,0.0,0.0,1,no_rep,no_rep,9.0,1.0,0,1
1,45,11,23.0,1,seasonal,40.0,10.25,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,45,11,130.0,1,peakload,40.0,12.0,0.0,none,0.0,3.0,0,different,different,9.5,1.0,1,1
1,45,11,35.0,1,seasonal,40.0,9.83,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,45,42,65.0,1,peakload,35.0,9.43,0.0,none,0.0,3.0,0,different,different,6.0,1.0,1,1
1,45,11,110.0,1,seasonal,40.0,10.46,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,39,71,50.0,1,seasonal,40.0,12.63,0.0,none,0.0,1.0,0,different,different,12.0,1.0,1,1
1,49,56,6.0,1,seasonal,40.0,13.52,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,45,11,40.0,1,seasonal,35.0,16.42,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,45,11,15.0,1,seasonal,40.0,17.0,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1,1
0,37,11,25.0,1,one-time occurrence,40.0,10.81,0.0,none,0.0,3.0,0,no_rep,no_rep,8.0,1.0,0,0
1,37,56,5.0,1,seasonal,40.0,12.81,0.0,none,0.0,3.0,0,different,same,9.0,1.0,1,0
0,47,23,65.0,1,peakload,40.0,14.32,0.0,none,0.0,0.0,0,no_rep,no_rep,10.0,1.0,1,0
0,27,71,3.0,1,seasonal,35.0,18.04,0.0,none,0.0,12.0,0,no_rep,no_rep,8.5,1.0,1,0
0,37,56,35.0,1,seasonal,35.0,10.77,0.0,none,0.0,1.0,0,no_rep,no_rep,7.0,1.0,1,1
1,45,11,35.0,1,seasonal,40.0,9.83,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,15,56,1.0,1,seasonal,40.0,30.01,0.0,high school/ged ,0.0,5.0,0,different,same,8.5,1.0,0,0
1,39,71,5.0,1,seasonal,40.0,13.68,0.0,none,0.0,1.0,1,different,different,12.0,1.0,1,1
0,37,56,8.0,1,seasonal,40.0,15.72,0.0,none,0.0,3.0,0,no_rep,no_rep,9.0,1.0,0,0
1,47,56,1.0,1,one-time occurrence,40.0,19.0,0.0,none,0.0,0.0,0,different,same,9.0,1.0,0,0
1,51,44,10.0,1,peakload,40.0,10.85,0.0,none,0.0,3.0,0,different,same,11.0,1.0,0,0
1,35,72,8.0,1,peakload,35.0,15.2,0.0,none,0.0,0.0,0,different,different,8.0,1.0,0,1
1,35,72,6.0,1,peakload,35.0,12.82,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,35,72,2.0,1,peakload,35.0,20.52,0.0,none,0.0,3.0,0,different,different,15.0,0.0,1,1
1,37,56,100.0,1,seasonal,40.0,13.68,0.0,none,0.0,0.0,0,different,different,9.0,1.0,0,0
