CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,35,71,1,1,peakload,40.0,11.83,0.0,none,0.0,1.0,0,different,different,9.0,1.0,1
1,0,37,56,2,1,seasonal,40.0,15.73,0.0,none,0.0,3.0,0,no_rep,no_rep,8.0,1.0,1
1,1,37,56,34,1,seasonal,40.0,14.52,0.0,none,0.0,0.0,0,different,different,13.5,0.0,1
1,1,39,71,32,1,seasonal,35.0,8.54,0.0,none,0.0,0.0,0,different,different,7.0,0.0,1
1,1,37,56,8,1,seasonal,40.0,15.24,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,35,71,25,1,seasonal,40.0,8.37,0.0,none,0.0,0.0,0,different,different,9.0,0.0,0
1,1,35,72,7,1,seasonal,35.0,11.0,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1
1,1,37,56,12,1,seasonal,40.0,15.59,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,37,56,18,1,seasonal,40.0,13.77,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,39,71,30,1,seasonal,40.0,366.4,0.0,none,0.0,0.0,0,different,same,9.0,0.0,0
1,1,35,72,7,1,seasonal,40.0,8.85,0.0,high school/ged ,0.0,0.0,0,different,different,23.916666666666668,0.0,1
1,1,37,53,3,1,seasonal,40.0,13.08,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,39,71,25,1,seasonal,40.0,361.6,0.0,none,0.0,0.0,0,different,different,9.0,0.0,0
1,1,37,56,5,1,seasonal,40.0,14.64,0.0,none,0.0,0.0,0,different,different,9.0,1.0,0
1,1,37,56,11,1,peakload,40.0,15.59,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1
1,1,37,56,10,1,peakload,40.0,13.02,0.0,none,0.0,3.0,0,different,same,9.0,1.0,1
1,1,37,56,6,1,peakload,40.0,14.52,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1
1,1,35,72,10,1,seasonal,35.0,11.35,0.0,none,0.0,3.0,0,different,different,7.0,1.0,1
1,1,37,56,3,1,seasonal,40.0,13.41,0.0,none,0.0,1.0,0,different,different,9.0,1.0,1
1,1,35,71,2,1,seasonal,40.0,14.34,0.0,none,0.0,12.0,0,different,different,8.0,0.0,1
1,1,35,72,5,1,seasonal,40.0,12.73,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,37,11,5,1,peakload,40.0,14.41,0.0,none,0.0,0.0,0,different,different,12.0,1.0,1
1,1,37,56,20,1,seasonal,40.0,17.63,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,35,72,10,1,seasonal,35.0,10.0,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,39,61,3,1,seasonal,35.0,11.71,0.0,associate's,0.0,0.0,0,different,different,7.0,0.0,0
1,1,37,56,24,1,seasonal,40.0,16.34,0.0,none,0.0,1.0,0,different,different,11.0,1.0,1
1,0,37,71,75,1,seasonal,40.0,14.08,0.0,none,0.0,0.0,0,no_rep,no_rep,9.0,1.0,0
1,1,35,71,4,1,peakload,40.0,15.38,0.0,none,0.0,3.0,0,different,different,17.0,0.0,1
1,1,37,72,25,1,peakload,40.0,11.63,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1
1,1,37,56,10,1,seasonal,40.0,15.6,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,47,42,6,1,peakload,40.0,13.85,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,6,1,peakload,40.0,14.03,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,53,48,20,1,peakload,40.0,15.03,0.0,none,1.0,0.0,0,different,different,13.25,0.0,1
